sku,title,author,brand,price
CV001,Album,Sophie Taeuber-Arp,,120
CV002,How to shoplift Books (different languages),David Horvitz,Edition Taube,11.99
CV003,Invisible Books,Claude Closky,Self-Published,10
CV004,M-Maybe,Sebastian Utzni,Edition Taube,10
CV005,Mirror Images,Kasper Andreasen,Self-Published,11
CV006,Straight Up! baby e-hoarder,Ceel Mogami de Haas,,16
CV007,Was It A Cat I Saw?,Liao Qianyao,Inexistent Books,8
CV008,After Institution,Karen Archey,Floating Opera Press,22
CV009,Cloud Bridge,Seyoung Yoon,After 8 Books,20
CV010,QUEER FORMALISM: THE RETURN,William J. Simmons,Floating Opera Press,20
CV011,Remember the Details,Skye Arundhati Thomas,Floating Opera Press,20
CV012,Other People's Clothes (Hardcover),Calla Henkel,Hodder & Stoughton,34
CV013,The Return of DADA (4 volume box),A. Mareuge; S. Zanetti (eds.),Les Presses Du Reel,48
CV014,Briefe (ist +2 korrekt?),Sophie Taeuber-Arp,Nimbus,180
CV015,DEARS #4,verschiedene,a winning cake,10
CV016,Book of Sand,Rahel Zoller,Self-Published,56
CV017,How to spell the fight,Natascha Haghighian,Kayfa-ta,12
CV018,كيف تتذكر أحلامك (How to remember your dreams),Amr Ezzat,Kayfa-ta,12
CV019,كيف تتهجى الصراع (How to spell the fight),Natascha Haghighian,Kayfa-ta,12
CV020,كيف تعرف ما الذي يجري حقا (How to know what’s really happening),Francis Mckee ,Kayfa-ta,12
CV021,Lana Kaiser,Philipp Gufler,Hammann von Mier Verlag,5
CV022,Cadavres,"Phœbe Hadjimarkos-Clarke, Rozenn Voyer",cry mimi cry,22
CV023,AYE,NIKITA SELEZNEV,Samopal,10
CV024,azat,Evgeniy Petrachkov,Samopal,20
CV025,ENTRANCE TO NOWHERE,DANIIL BORISOV,Samopal,10
CV026,Liompa,RODION KITAEV,Samopal,10
CV027,Quilt #01 – #30,Philipp Gufler,Hammann von Mier Verlag,25
CV028,Unintended Experience. A job in Amsterdam (reprint),Evelyn Taocheng Wang,After 8 Books,20
CV029,BARRICADE (Taxonomy of),Wolfgang Scheppe,NERO,45
CV030,Monitoring Control,Paolo Cirio,NERO,16
CV031,Robida Care of Margins,,Robida Collective,10
CV032,Chthulucene,Donna Haraway,NERO,20
CV033,Back / 뒤,Hwang EunYoung,Kkamanke,15
CV034,Calypso Cave,Stefan Karrer,Mark Pezinger,20
CV035,Denn wenn Chloe Olivia mag ...,Marilin Brun & Mara Züst,Mark Pezinger,18
CV036,Einfacher Hausrat,Eva Engelbert,Mark Pezinger,16
CV037,French Bread Snap,Osanai Misako,Self-Published,20
CV038,H(a)untings / Heim Suchungen,BELINDA KAZEEM-KAMIŃSKI,Sternberg Press,26
CV039,How to stay sane in an age of division,Elif Shafak,Profile Books,13
CV040,May Day Manifesto 1968,Raymond Williams,Verso Books,28
CV041,Minor Detail,Adania Shibli,Fitzcarraldo Editions,28
CV042,On Words,Isabelle Cornaro/Silvie Defraoui/Latifa Echakhch,,16
CV043,Peeing in Public,Thomas Geiger,Mark Pezinger,16
CV044,Pizza Saver,Robineggpie,Self-Published,16
CV045,Poetricks – WORK IN PROTEST,Stefano Calligaro,Edition Taube,18
CV046,The Book of Record of the Palm Capsule,Christian Kosmas Mayer,Mark Pezinger,16
CV047,The Emblematic Cabinet,Hanakam & Schuller,Mark Pezinger,16
CV048,The Goodwiller vol 1,The Goodwiller,,15
CV049,The Goodwiller vol 2,The Goodwiller,,15
CV050,The Goodwiller vol. 3,The Goodwiller,,30
CV051,YOU RUN AROUND TOWN LIKE A FOOL AND YOU THINK THAT IT'S GROOVY 2,Chantal Rens,Pantofle Books,45
CV052,Cause départ vol. I,Babeth Rambault,Lendroit,8
CV053,Champs Libres,Christine Demias,,13
CV054,Heat Death,Nickolas Mohanna,Lendroit,18
CV055,Lancer un élastique pour obtenir un cercle dans l'air (Trente six tentatives),Christine Demias,Christine Demias,12
CV056,MRIOIR MIOIRR,Carla Demierre,HEAD,16
CV057,Vigilancia,Eliott Waldis,Lendroit,25
CV058,Chroma,Derek Jarman,Merve,24
CV059,Das Niedliche und der Gimmick,Ngai S,Merve,24
CV060,Index cards,Moyra Davey,Fitzcarraldo Editions,28
CV061,Nostalgia,David Horvitz,Gato Negro/Edition Taube,42
CV062,One hundred seventy-three,bodiless,bodiless,16
CV063,Please Save the Date,Marie Boivent,Lendroit,16
CV064,Revue Faire 38 Special Issue,,Empire Books,16
CV065,Revue Faire n°42 /n°24/n°30,,Empire Books,10
CV066,Airport Love Theme,HAMISHI FARAH,Book Works,16
CV067,Attached, Jessie Bullivant,Rooftop Books,22
CV068,Lexikon 6,Anonymous,Edition Taube,2
CV069,Licorice,BRIDGET PENNEY,Book Works,16
CV070,Rain,David Horvitz,Edition Taube,12
CV071,Saving Time,Jenny Odell,Random House,28
CV072,Book (9222),Masanao Hirayama,Rollo Press,20
CV073,Rombo,"Kinsky, Esther",Fitzcarraldo Editions,26
CV074,(Keychain) I find myself simultaneously drawn to and repelled by the sheer quantity of man-made objects in this world.,Jessica Williams,Hverdag Books,12
CV075,Schwindeltagebuch,"Angela Stiegler, Shila Rastizadeh",Edition Taube,34
CV076,Confidences / Majority,Ivan Cheng,After 8 Books,18
CV077,Heating up the seat.,Susanne Miggitsch,Mark Pezinger,22
CV078,"HELLO, WE ARE HERE",,Everyedition,34
CV079,How to play Tripple Dribble,Julia Borderie,Mark Pezinger,16
CV080,Hurricane Season,Fernanda Melchor,Fitzcarraldo Editions,28
CV081,"KYKLADA – verschiedene Ausgaben (Beach Machine, Architect…)",,KYKLADA,16
CV082,"MANON, ZÜRICH–PARIS ",,Everyedition,49
CV083,Post-Music,Florence Jung,Edition Taube,15
CV084,Saluti dal Mare,,Everyedition,3ß
CV085,THE END OF BOOKS,,Everyedition,54
CV086,The Supreme Deluxe Essential Monster Chetwynd Handbook,Monster Chetwynd,Edition Patrick Frey,80
CV087,UNTIL I’M RICH,Tamara Maggi,Everyedition,16
CV088,A ROOM OF ONE’S OWN,VIRGINIA WOOLF,Domain,18
CV089,"BILLY BUDD, SAILOR",HERMAN MELVILLE,Domain,18
CV090,Garbage Man,Tal R,Innen,30
CV091,Innen Zines,,,10
CV092,MANIFESTO OF THE COMMUNIST PARTY,KARL MARX AND FRIEDERICH ENGELS,Domain,13
CV093,NARRATIVE OF THE LIFE OF FREDERICK DOUGLASS,FREDERICK DOUGLASS,Domain,18
CV094,On Letters,PREM KRISHNAMURTHY,Domain,34
CV095,"Aria Dean, Bad Infinity: Selected",,Sternberg Press,24
CV096,Encounters – Embodied Practices,,Archive Books,22
CV097,Inhabiting the Negative Space,,Sternberg Press,18
CV098,Pidginization as Curatorial Method,Bonaventure Soh Bejeng Ndikung,Sternberg Press,16
CV099,Dada Zürich,,Reclam,10
CV100,Flowering Under Stress, Ana Prvački,Sternberg Press,28
CV101,Sensing Earth—Cultural Quests Across a Heated Globe,,Valiz,30
CV102,Solitary,,,28
CV103,Street Report 1: Public Bins,,Temporary Press,24
CV104,Street Report 2: Hooks and Holes,,Temporary Press,24
CV105,Street Report 4: Seatings,,Temporary Press,24
CV106,Tainted Love,Alex Coles,Sternberg Press,22
CV107,Unannounced Voices: Curatorial Pra,Zdenka Badovinac,Sternberg Press,16
CV108,Artists’ Survival Kit,"Andrea Bellini, Göksu Kunak, eds.",NERO Editions,26
CV109,Let’s Become Fungal! - Mycelial Learning and the Arts,,Valiz,34
CV110,ORLAN Manifesto - Bodies and Sculp,,,32
CV111,Solution 257 Complete Love,,Sternberg Press,22
CV112,Solution 275–294 Communists Anonymous,,Sternberg Press,24
CV113,Sieben Dada Manifeste,Tristran Tzara,Nautilus,20
CV114,Bôite aux lettres,Renan Garcia,Self-Published,13
CV115,Zoom Books,"Catherine Welsh, Pénélope Delaur",éditions pépé,15
CV116,50 Feminist Art Manifestos,,,28
CV117,Culture Strike Art and Museums in an age of protest,Laura Raicovich,Verso Books,24
CV118,LAST LOOSENING,Walter Serner,Twisted Spoon Press,28
CV119,i left my body behind,Martian Mächler,wasteland,26
CV120,Arts of the Working Class,Arts of the Working Class,Arts of the Working Class,5
CV121,Cyberfeminism Index,Mindy Seu,,54
CV122,Images,Niki Yelim,Lemon Press,7
CV123,Sleep Over Tonight For Us,Niki Yelim,Lemon Press,7
CV124,"Talker (Various Numbers, 1-11)",Talker,Talker,7
CV125,D.i.y. As Privilege: A Manifesto,,,13
CV126,Is Now the Time for Joyous Rage? ,"Jacqueline Francis, Jeanne Gerrity",MIT,16
CV127,Just My Luck,Hupin & Longly,The Eriksay Connection,28
CV128,MANFESTiert Euch!,,Distanz,40
CV129,Petrified Media ,Stephen Cornford,The Eriksay Connection,28
CV130,Solution 262 Lavapolis,,Sternberg Press,16
CV131,Solution 264–274 Drill Nation,,Sternberg Press,16
CV132,The Complex Answer,Chus Martínez ,,28
CV133,The Lonely City: Adventures in the Art of Being Alone,Olivia Laing,Canongate,28
